sample.id	location	sample_site	temperature_C	replicate	pH	time_d	year	dive	run_date	input	filtered	percentage of input passed filter	denoised	merged	percentage of input merged	non.chimeric	percentage of input non.chimeric
1.dil1to10.J21475.10C.515F.926R_S1	Mariana_forearc	Asut_Tesoru	10	B	12.37	2	2022	1475	9/6/25	21330	16510	77.4	16389	14085	66.03	13156	61.68
10.dil1to10.J21471.515F.926R_S10	Mariana_forearc	South_Chamorro_Seamount	55	B	10.3	6	2022	1471	9/6/25	17976	14076	78.3	14063	14003	77.9	13928	77.48
11.dil1to10.J21475.515F.926R_S11	Mariana_forearc	Asut_Tesoru	10	C	12.37	6	2022	1475	9/6/25	23006	17568	76.36	17498	17343	75.38	16680	72.5
12.dil1to10.J21477.515F.926R_S12	Mariana_forearc	Asut_Tesoru	10	C	12.47	2	2022	1477	9/6/25	21302	16610	77.97	16564	16270	76.38	15908	74.68
2.dil1to10.J21475.55C.515F.926R_S2	Mariana_forearc	Asut_Tesoru	55	B	12.37	2	2022	1475	9/6/25	24246	19628	80.95	19552	19018	78.44	18446	76.08
3.dil1to10.J21477.10C.515F.926R_S3	Mariana_forearc	Asut_Tesoru	10	B	12.47	2	2022	1477	9/6/25	22866	17108	74.82	17060	16611	72.64	16233	70.99
4.dil1to10.J21477.30C.515F.926R_S4	Mariana_forearc	Asut_Tesoru	30	A	12.47	2	2022	1477	9/6/25	20617	13945	67.64	13222	11442	55.5	11106	53.87
5.dil1to10.J21477.55C.515F.926R_S5	Mariana_forearc	Asut_Tesoru	55	A	12.47	2	2022	1477	9/6/25	17875	13664	76.44	13634	13456	75.28	13261	74.19
6.dil1to10.J21472.10C.515F.926R_S6	Mariana_forearc	South_Chamorro_Seamount	10	A	12.29	2	2022	1472	9/6/25	23253	20860	89.71	20417	17681	76.04	14312	61.55
7.dil1to10.J21472.30C.515F.926R_S7	Mariana_forearc	South_Chamorro_Seamount	30	A	12.29	2	2022	1472	9/6/25	21685	17208	79.35	17132	16934	78.09	16531	76.23
8.dil1to10.J21472.55C.515F.926R_S8	Mariana_forearc	South_Chamorro_Seamount	55	B	12.29	2	2022	1472	9/6/25	26486	19245	72.66	19163	18586	70.17	18164	68.58
9.dil1to10.J21475.30C.515F.926R_S9	Mariana_forearc	Asut_Tesoru	30	B	12.37	2	2022	1475	9/6/25	28397	19645	69.18	19565	19171	67.51	17734	62.45
